"Reference","Value","Qty","JLCPCB"
"C201","100U","1","C15008"
"C202","100U","1","C15008"
"C203","10N","1","C15195"
"C204","10N","1","C15195"
"C205","1U","1","C52923"
"C206","1U","1","C52923"
"C207","1U","1","C52923"
"C208","1U","1","C52923"
"C209","1U","1","C52923"
"C210","1U","1","C52923"
"C211","1U","1","C52923"
"C212","1U","1","C52923"
"C213","10P","1","C32949"
"C214","1U","1","C52923"
"C215","1U","1","C52923"
"C216","1U","1","C52923"
"C217","1U","1","C52923"
"C218","10P","1","C32949"
"C219","1U","1","C52923"
"C220","1U","1","C52923"
"C221","1U","1","C52923"
"C222","1nF","1","C1523"
"C223","1U","1","C52923"
"C224","2.2U","1"," C12530"
"C225","1U","1","C52923"
"C226","1nF","1","C1523"
"C227","1U","1","C52923"
"C228","2.2U","1"," C12530"
"C229","1U","1","C52923"
"C230","1U","1","C52923"
"C231","0.1U","1","C307331"
"C232","1U","1","C52923"
"C233","100U","1","C15008"
"C234","1U","1","C52923"
"C301","10U","1","C15525"
"C302","0.1U","1","C307331"
"C303","0.1U","1","C307331"
"C304","10U","1","C15525"
"C305","0.1U","1","C307331"
"C306","0.1U","1","C307331"
"C307","0.1U","1","C307331"
"C308","0.1U","1","C307331"
"C309","0.1U","1","C307331"
"C310","0.1U","1","C307331"
"C311","0.1U","1","C307331"
"C312","0.1U","1","C307331"
"C313","0.1U","1","C307331"
"C314","0.1U","1","C307331"
"C315","0.1U","1","C307331"
"C316","0.1U","1","C307331"
"C317","0.1U","1","C307331"
"C318","10U","1","C15525"
"C319","10N","1","C15195"
"C320","0.1U","1","C307331"
"C321","0.1U","1","C307331"
"C322","1U","1","C52923"
"C323","1U","1","C52923"
"C324","10N","1","C15195"
"C401","4.7U","1","C23733"
"C402","4.7U 50V","1","C29823"
"C403","0.1U","1","C307331"
"C404","0.1U","1","C307331"
"C405","10U","1","C15525"
"C406","0.1U","1","C307331"
"C407","0.1U","1","C307331"
"C408","0.1U","1","C307331"
"C409","1U","1","C52923"
"C410","0.1U","1","C307331"
"C411","0.1U","1","C307331"
"C412","1nF","1","C1523"
"D301","1N5819WS","1","C191023"
"D401","6V TVS","1","C472589"
"D402","Red","1","C2286"
"J301","Hirose DM3AT-SF-PEJM5","1","C114218"
"J401","Conn_01x08","1","C5213748"
"J402","Molex 541044031","1","C164172"
"J403","Header","1",""
"J405","USB_B","1",""
"J406","J1011F21PNL","1",""
"J502","Conn_02x21_Odd_Even","1",""
"J503","Conn_02x38_Odd_Even","1",""
"L401","600R @ 100MHz","1","C1002"
"Q401"," MMBT5551","1","C2145"
"R201","10K","1","C25744"
"R202","10K","1","C25744"
"R203","1.00K","1","C11702"
"R204","1.00K","1","C11702"
"R205","1.00K","1","C11702"
"R301","1.00K","1","C11702"
"R302","1.00K","1","C11702"
"R303","1.00K","1","C11702"
"R304","1.00K","1","C11702"
"R305","1.00K","1","C11702"
"R306","1.00K","1","C11702"
"R307","100R","1","C25076"
"R308","240R 1%","1","C25094"
"R309","10K","1","C25744"
"R310","10K","1","C25744"
"R311","240R 1%","1","C25094"
"R312","10K","1","C25744"
"R313","100K","1","C25741"
"R314","10K","1","C25744"
"R315","10K","1","C25744"
"R316","10K","1","C25744"
"R317","10K","1","C25744"
"R401","270","1","C22966"
"R402","100R","1","C25076"
"R403","100R","1","C25076"
"R404","10K","1","C25744"
"R405","10K","1","C25744"
"R406","10K","1","C25744"
"R407","30.1","1","C67234"
"R408","30.1","1","C67234"
"R409","3.00K","1","C4211"
"R410","330","1","C25104"
"R411","10K","1","C25744"
"R412","33","1","C25105"
"R413","33","1","C25105"
"R414","33","1","C25105"
"R415","0","1","C17168"
"R416","0","1","C17168"
"R417","10K","1","C25744"
"R418","10K","1","C25744"
"R419","1.5K","1","C25867"
"R420","10K","1","C25744"
"R421","10K","1","C25744"
"R422","10K","1","C25744"
"R423","10K","1","C25744"
"R424","10K","1","C25744"
"R425","49.9","1","C25120"
"R426","49.9","1","C25120"
"R427","12.1K","1","C25852"
"R428","49.9","1","C25120"
"R429","1.00K","1","C11702"
"R430","1.00K","1","C11702"
"R431","49.9","1","C25120"
"R432","10K","1","C25744"
"R433","33","1","C25105"
"R434","0","1","C17168"
"R435","0","1","C17168"
"R436","0","1","C17168"
"R437","1.5K","1","C25867"
"SW201","Omron B3F-1052","1",""
"SW202","SW_DIP_x04","1",""
"U201","NCP380","1","C145185"
"U202","STM32MP135FAEx","1","C7501745"
"U301","MT41K256M16TW-107:P TR","1","C253882 "
"U302","MX30LF4G28AD-TI","1","C2894351"
"U303","NCP380","1","C145185"
"U401","TPD2S017","1","C880115"
"U402","LAN8742A-CZ-TR","1","C621424"
"Y201","24 MHz","1","C70571"
