Designator,Mid X,Mid Y,Rotation,Layer
C205,67.0166,58.448,0,bottom
C206,65.3148,53.1648,-90,bottom
C208,68.1596,49.431,-90,bottom
C209,64.5432,55.6634,90,bottom
C211,65.5084,55.7396,90,bottom
C214,61.962,49.5834,180,bottom
C216,61.1746,54.4348,180,bottom
C217,64.375,53.1648,-90,bottom
C219,67.8452,56.6286,0,bottom
C220,62.978,52.5552,0,bottom
C221,61.3778,57.9654,135,bottom
C222,66.8896,52.8092,180,bottom
C223,61.1492,51.9964,0,bottom
C225,63.0288,55.4,0,bottom
C226,63.0034,54.4602,0,bottom
C227,63.0034,53.5204,0,bottom
C228,66.0006,51.1836,180,bottom
C229,66.8896,53.749,180,bottom
C230,67.3976,59.8958,90,bottom
C231,66.4736,56.3492,-90,bottom
C232,62.9526,50.5232,180,bottom
C234,67.8452,51.193,0,bottom
C302,88.6066,51.7424,-90,bottom
C305,87.2096,58.4226,0,bottom
C306,76.4146,51.463,180,bottom
C307,84.0092,58.448,180,bottom
C308,81.266,52.0726,0,bottom
C309,83.1964,51.209,0,bottom
C310,87.1842,51.0566,0,bottom
C311,76.821,58.448,180,bottom
C312,78.2942,51.1074,180,bottom
C313,87.4382,56.3906,-90,bottom
C314,85.5998,51.8814,90,bottom
R307,81.6089,54.185532,180,bottom
C201,77.0908,78.0154,0,top
C202,81.0278,44.2334,0,top
C203,66.5998,41.1084,0,top
C204,70.2574,43.9928,90,top
C207,95.4698,41.4516,-90,top
C210,55.5008,54.8158,180,top
C212,66.7626,45.7988,-90,top
C213,55.007,48.5716,90,top
C215,73.456,55.4094,0,top
C218,50.562,51.2344,90,top
C224,67.7278,45.7988,-90,top
C233,91.6958,55.2824,90,top
C237,50.825211,57.156011,45,top
C238,52.7718,57.9596,180,top
C239,95.9113,43.4836,0,top
C240,77.4606,64.6144,0,top
C301,91.897654,51.921517,-90,top
C303,90.907054,51.921517,-90,top
C304,90.932454,58.525517,90,top
C315,83.7379,60.611732,0,top
C316,76.3218,48.724532,-90,top
C317,73.4916,52.8092,0,top
C318,80.2658,67.8554,180,top
C319,52.2376,71.8376,180,top
C320,52.2376,72.8282,180,top
C321,52.2376,74.3522,180,top
C322,80.7738,76.2514,90,top
C323,75.1738,72.3684,-90,top
C324,76.6078,75.2756,0,top
C326,89.0288,60.3624,0,top
C327,90.8423,45.0076,90,top
C401,17.1864,67.6116,0,top
C402,26.2288,67.1036,0,top
C403,14.2552,62.6123,90,top
C404,30.496,37.0299,90,top
C405,26.2796,29.6411,-90,top
C406,33.3916,31.5435,0,top
C407,5.8225,20.1614,180,top
C408,27.2448,29.6639,-90,top
C409,33.3916,34.5407,0,top
C410,37.9848,17.944782,-90,top
C411,20.0058,18.0956,90,top
C412,1.6416,18.8918,90,top
C413,67.3094,14.5256,-90,top
C414,64.356,22.5588,180,top
C415,61.3588,21.5428,180,top
C416,59.276,21.5428,180,top
C417,64.356,21.5428,180,top
C418,54.8292,15.642641,90,top
C419,69.104,18.8436,0,top
D202,89.8263,42.2136,-90,top
D203,90.7153,46.9816,0,top
D301,79.2352,73.0822,90,top
D401,6.4567,18.2056,180,top
D402,52.5178,46.9106,180,top
D502,61.2788,40.9416,180,top
J301,90.134,69.2834,90,top
J401,5.585871,52.117515,-90,top
J402,5.098085,75.603534,-90,top
L401,33.3916,28.7495,90,top
Q401,13.0868,65.4571,-90,top
R201,72.2132,44.0182,-90,top
R202,67.0824,42.9118,-90,top
R203,62.718818,38.400582,180,top
R204,65.233418,38.375182,180,top
R205,67.798818,38.375182,180,top
R206,62.4858,42.9634,90,top
R207,93.2443,47.9286,0,top
R208,88.3023,41.5786,-90,top
R209,91.8473,45.0096,-90,top
R210,96.4303,41.4516,90,top
R211,89.4453,45.3886,0,top
R212,88.3023,43.4836,-90,top
R213,56.02215,48.5716,90,top
R214,55.5658,51.1016,0,top
R301,77.3036,48.704532,90,top
R302,78.3284,48.704532,-90,top
R303,86.1535,60.611732,180,top
R304,81.8355,60.6578,180,top
R305,73.2038,44.0182,90,top
R306,74.1944,44.0182,-90,top
R308,80.7834,48.7198,-90,top
